ChuDauTu,DienTich,LoaiDuAn,TenDuAn,ViTriToaDo
Công ty TNHH MTV Xây dựng và Kinh doanh nhà Trường Tín,"28.412,3 m2",Căn hộ,Elysian Thủ Đức,10.824693459145-106.82082839568
Tổng Công ty Cổ phần Đầu tư và Phát Triển Xây dựng (DIC Corp),"316,3 ha","Biệt thự, khách sạn, resort",DIC Star Wonder World Hà Nam,20.523176053025-105.83865200886
Công ty Cổ phần Đầu tư Phát triển Dự án Phương Trung,,,Khu đô thị mới Đức Giang,21.179879066424-106.28359254735
,," Căn hộ, shophouse", Phân khu The OpusK,10.776996834814-106.71320845755
Công ty Cổ phần Đầu tư Hải Thành Hưng,10.167 m2,"Shophouse, condotel",Royal Landmark Quảng Bình,17.461990915375-106.62672494393
Công ty Cổ phần đầu tư Văn Phú – Invest,,"Căn hộ, biệt thự, liền kề",The Terra Bắc Giang,21.268297201896-106.2113151465
Kim Long Group,7.635 m2,Nhà phố,Eco Luxury Bình Tân,10.715017846604-106.60606018938
Công ty Cổ phần Đầu tư MBA,"4.752,4 m2",Đất nền,Duyên Hải Garden Lào Cai,22.499360337672-103.95578369046
Công ty Cổ phần Quốc Lộc Phát,13.168 m2,Căn hộ,The Crest Residence,10.778860528506-106.71459056295
ông ty Cổ phần Bất động sản Sơn Kim (SonKim Land),1.900 m2,Căn hộ,The Berkley,10.80352200809-106.74592288314
Tổng công ty TNHH Xây Dựng An Bình,"6,78 ha",Đất nền ,Khu dô thị Tiến Phan Nhã Nam,21.445269923433-106.10256324446
Công ty Cổ phần Tập đoàn Hoàng gia Hội An - Royal Group Hoi An,"8,6 ha",Biệt thự,Shantira Legasea Villas,15.922687675179-108.32667174674
Công ty Cổ phần Đầu tư Amecc Hậu Giang,8.837 m2,Nhà phố,AMG River Park Long Mỹ,9.6805962850383-105.57189035508
Công ty TNHH Bất động sản Thanh Thái TVK,9.513 m2,Đất nền ,Phố chợ Gò Đen,10.63754670151-106.5415624193
Công ty TNHH Prime Thái Nguyên,6.000 m2,,Prime Thái Nguyên,21.59488168515-105.8386033238
 Công ty Cổ phần Phát triển đô thị Đông Anh,,"Đất nền, biệt thự, shophouse",Happy Land Đông Anh Hà Nội,21.167267380839-105.84675791612
Công ty Cổ phần Đầu tư Xây dựng và Địa ốc Hòa Hiệp,"23.841,3 m2",Đất nền,Chợ Kênh F Mở Rộng Sóc Trăng,10.288212246394-105.27279709423
 Công ty TNHH Tư vấn và Phát triển Hải Đăng Land (Hải Đăng Group),, Đất nền,Hải Đăng Center 2 Củ Chi,11.003656281667-106.49356293001
 Công ty Cổ phần Kinh doanh Bất động sản Việt Phúc,, Đất nền,Phúc Thạnh River 2 Long An,10.802718976877-106.43489866703
,, Căn hộ, Casilla – Thanh Long Bay,10.776544-107.8702347
Công Ty TNHH Đầu Tư Xuân Phương,,Shophouse,Louis City Xuân Phương Hà Nội,21.039332498894-105.74152985676
Công ty Cổ phần Kiến trúc Nhịp Điệu Xanh,3.083 m2,"Căn hộ, shophouse",Nhịp Điệu Xanh - Dream House ,10.008839084867-105.78855091362
 Công ty Cổ phần Tư vấn Thiết kế Đầu tư và Xây dựng SDN,, Đất nền,Khu đô thị Trung tâm thị trấn Hữu Lũng Lạng Sơn,21.505231507296-106.34697271698
 Công ty TNHH TNT Land Group,, Đất nền,Farm Hill Lộc Ngãi Lâm Đồng,11.663146366928-107.88198510935
Công ty Cổ phần Đầu tư Bất động sản BMI,"1,8 ha",Đất nền,Melorita Hòa Lạc Hà Nội,20.975333802292-105.46415472834
,, Căn hộ, Nhà ở xã hội Việt - Pháp,13.7849582-109.2122608
Công ty Kinh doanh Bất động sản Viglacera,,"Biệt thự, shophouse",Lan Viên Villa - Khu đô thị Đặng Xá,21.018530681451-105.95336420735
 Công ty Cổ phần Tập đoàn Mặt Trời (Sun Group),, Shophouse,Sun Marina Plaza Hạ Long,20.949154623177-107.05413177888
Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Bộ Quốc phòng – MHDI,,Nhà phố,MHDI Móng Cái,21.524668385031-107.96943902223
,," Biệt thự, khách sạn",Hòa Thạnh Resort Phú Yên,13.540639367509-109.27633389382
Liên danh ,,Căn hộ,Athena Luxury Đà Nẵng Riverside,16.090308615536-108.2273960783
 Liên danh Tập đoàn Đầu tư Sokimex - Campuchia và NovaGroup,," Khách sạn, shophouse",Khu đô thị Blue Dragon,10.807410564049-105.25439808188
,, Căn hộ, Chung cư Trần Bình Trọng,13.771471673637-109.23593247759
Công ty TNHH Đầu tư Phát triển nhà và đô thị Hoàng Nam,"4,68 ha","Nhà phố, đất nền",Hoàng Nam Uyên Hưng Bình Dương,11.077126344673-106.79709633022
 Công ty Cổ phần Đầu tư và Xây dựng Đại Thành,,Đất nền,Khu đô thị Đại Thành Trung Đô Nghệ An ,18.65008963553-105.68764408512
,, Căn hộ, Nhà ở xã hội Pisico,13.783252253512-109.15225358535
 Công ty Cổ phần Kehin,,"Nhà xưởng, đất nền, showroom",Cụm công nghiệp làng nghề Minh Phương,21.227870370312-105.59507100642
Công ty Cổ phần Lotte FLC,10.315 m2,Căn hộ,Hausman - Khu đô thị FLC Premier Parc,20.98929003643-105.76291994869
 Công ty Cổ phần BDLand,,"Nhà phố, shophouse",Thạnh Phước Riverside Bình Dương,10.983741963596-106.77456381467
Công ty TNHH Xây dựng Tiến Đạt,,"Shophouse, đất nền",DHome Yên Thủy,20.385560288439-105.62940217783
 Công ty Phát triển Nhà và Đô thị Thành Tín,,Biệt thự,Biệt thự V Melody Villas Hà Nội,20.984464125626-105.52413273717
Công ty TNHH MTV 19/05,"47.488,1 m2",Đất nền,Đông Yên Residences Quảng Ngãi,15.326236496228-108.77009190003
Công ty Cổ phần Tập đoàn Hải Ngọc Đường,12.484 m2,"Shoptel, kiot",DongCat Marketplace,14.9350549-108.8878278
" Ban Quản lý Đầu tư Phát triển các Cụm, Điểm công nghiệp, Tiểu thủ Công nghiệp CN-TTCN",,Đất nền,Khu tái định cư Bình Yên Hà Nội,21.032192065069-105.53865667008
Công ty TNHH Xây dựng Tiến Đạt,"33.076,3 m2","Nhà phố, biệt thự",DHome Central Park Hòa Bình,20.462348985067-105.45217940852
 Công ty Cổ phần Đầu tư và Địa ốc Sao Sáng,,"Shophouse, văn phòng",Shophouse Tây Thăng Long,21.077772219771-105.7397026941
,," Villa, penthouse", Luxnam Phú Quốc,10.447619471067-104.00446746091
 Công ty Cổ phần Alphaland Group,,Đất nền,Sakura Garden Lâm Đồng,11.556890106997-107.77541312433
Liên danh ,"9,9 ha","Shophouse, đất nền",Grand Navience City Bình Định,14.574184105172-109.04896957873
,," Biệt thự, shophouse, condotel",Sun Hà Nam,20.536197553662-105.76286351094
Công ty Cổ phần Đầu tư Bất động sản Nam Khang Miền Trung,,Đất nền,SunShine City Quảng Ngãi,14.958205217752-108.88063260136
 Công ty Cổ phần Đầu tư Xây dựng Hoàng Phát,,Đất nền,Khu đô thị Hoàng Phát Bạc Liêu,9.3100960817267-105.7237978979
,," Biệt thự, liền kề, căn hộ", Khu đô thị PG An Đồng,20.845841661411-106.65214825029
ổ phần Đầu tư Xây dựng An Phú Sinh,"14,7 ha",,Lumina Grand Square Long An,10.646192248433-106.58114853353
Công ty Cổ phần Đầu tư Xuất nhập khẩu Thăng Long (Dragon Group),"9,3 ha",,DongCat Marketplace,22.462244966982-103.98856486238
 Công ty TNHH Đầu tư Xây dựng Thương mại Thiên Đức,,"Đất nền, biệt thự, shophouse, căn hộ",Khu đô thị Hưng Phú New Town Bến Tre,10.258283556567-106.37651597084
,, Đất nền, Khu đô thị Green Sailing Town,10.83579705067-106.48942525178
 Công ty Cổ phần TPS Land ,,"Nhà phố, Mini Villa",Nhà phố TPS 52 Nguyễn Xiển,10.817492161905-106.83395606134
Công ty Cổ phần Đầu tư Ngôi Sao Đỏ,4 ha,Đất nền,Bảo Lộc Gems Paradise III ,11.62024185362-107.77871571982
 Công ty Cổ phần Đầu tư Minh Hùng,,"Đất nền, shophouse",Việt Yên New Center Bắc Giang,21.262748596661-106.11725147589
Liên danh ,7.432 m2,,Viha Complex Hà Nội,20.997513815805-105.80374700608
,," Biệt thự, liền kề, căn hộ", Khu đô thị Thuận Thành III,21.0385768-106.0698963
,," Shophouse, liền kề, biệt thự", Phú Gia Riverside,13.814131832602-109.21311315668
 Công ty TNHH Thương mại và Xây dựng Thân Hà,,"Đất nền, shophouse", Khu đô thị Kim Hoa Mê Linh,21.22811244179-105.73539571308
Công ty TNHH Đầu tư Bến Tre,49.210 m2,"Nhà phố, biệt thự",Bến Tre Riverside,10.235464424901-106.39205246305
,, Căn hộ, Alaric Tower,10.37756300012-107.12866645369
Công ty Cổ phần Bất động sản Xuân Thảo,"38.485,2 m2","Nhà phố, shoptel",Xuân Thảo Residence Long An,10.674250567687-106.55183424532
 Công ty Cổ phần Thương mại và Đầu tư Toàn Cầu GTC,,"Biệt thự, Shophouse, nhà liền kề", Khu đô thị TSQ Galaxy Vạn Phúc,20.984052277521-105.7759457385
Công ty Cổ phần Đầu tư Nam Long,,Biệt thự,Park Village – Waterpoint,10.657381444136-106.4536423385
Công ty Cổ phần Tập đoàn Tiến Bộ,1.710 m2,Căn hộ,Lotus 2 Bắc Giang,21.290408839282-106.20350538916
,, Đất nền, Khu đô thị Thái Thành Bombo,11.939927910932-107.19053817236
Công ty TNHH Thương mại Vinh Quang I,"9,56 ha","Đất nền, căn hộ",D’Villa Kon Tum,14.387379838193-108.01403635043
Công ty TNHH Đầu tư và Phát triển We Group,,Đất nền,Yukata Glamping Lộc An,11.560459107211-107.91780017888
Công ty TNHH An Điền Phát Quảng Ngãi,"49.687,87 m2",Đất nền,An Điền Phát Quảng Ngãi,15.086897896297-108.81905715496
Công ty Cổ phần Đất Xanh Miền Trung,8.874 m2,Căn hộ,Regal Complex Đà Nẵng,15.987919431837-108.26075732164
Công ty TNHH Tư vấn Đầu tư và Phát triển Địa ốc Bình Minh,"193.319,7 m2",Đất nền ,Khu nhà ở Bình Minh,11.139674534372-106.67651699639
Công ty TNHH Sản Xuất Lắp Ráp Tuấn Nghĩa,"4,5 ha","Liền kề, shophouse",Sông Công River Thái Nguyên,21.466241672418-105.866558972
Tập đoàn VinGroup,"16,5 ha","Liền kề, shophouse, biệt thự",Phân khu Thời Đại,20.943959205057-105.98909718046
Công ty Cổ phần Đầu tư và kinh doanh bất động sản Hải Phát (Hải Phát Land),"16.045,49 m2",Shophouse,La Emera Phú Yên,13.1226876-109.2935636958
Eras Group,"24,3 ha","Liền kề, biệt thự",Khu dân cư Lộc Phát,11.58255998668-107.84164370327
Công ty Cổ phần HB Grand Land,,Shophouse,City Land Center Hòa Bình,20.828887923212-105.33993634233
Công ty TNHH T&T Land Gio Hải,,Khu du lịch nghỉ dưỡng,Gio Hải Quảng Trị,16.929513209196-107.1666268297
,, Căn hộ, Khu phức hợp căn hộ Quy Nhơn Seaview,13.7214259-109.2116538
Căn 2 phòng ngủ,," Căn hộ, shophouse",Loại hình,13.745771923922-109.20801136016
,, Đất nền, Khu đô thị An Bình,10.0103576-105.7380511
 Công ty Cổ phần Bất động sản AIC,,"Biệt thự, Shophouse, nhà liền kề", Khu đô thị AIC Mê Linh,21.162059066358-105.74900992272
,," Căn hộ, liền kề", Khu đô thị Ánh Việt,13.752518484322-109.20857415179
Công ty Cổ phần Đầu tư DND Tân Phú,262 ha,Đất nền nhà xưởng,Trần Anh Tân Phú,10.892943080054-106.35180982447
Công ty Cổ phần Tập đoàn Masterise,,"Căn hộ, shophouse",West C - Masteri West Heights,20.996312695395-105.74059346082
"Công ty TNHH Sản xuất, Lắp ráp Tuấn Nghĩa","9,94 ha","Biệt thự, liền kề, nhà vườn",Bến Bắc Riverside Lạng Sơn,21.849103333684-106.7506013525
Công ty TNHH Phát triển hạ tầng Quy Nhơn,"85.898,31 m2","Shophouse, townhouse",Central Avenue Quy Nhon,13.93904420855-109.22076485659
Công ty Cổ phần Đầu tư Thương mại Đại Bình,3 ha,Đất nền,Xavia City Lâm Đồng,11.532413853305-107.914324036
Công ty cổ phần đầu tư Solaris Việt Nam,"19.963,97 m2","Shophouse, liền kề",HP Elite Central Hải Phòng,20.82342532567-106.65663909308
Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh (Fideco),1.238 m2,Văn phòng,Tòa nhà Fideco,10.786170353853-106.69642178864
Công ty Cổ phần Đô thị FPT Đà Nẵng,6.512 m2,Căn hộ,FPT Plaza 3 Đà Nẵng,15.981854800531-108.25983464174
Công ty Cổ phần Bất động sản Detech Land,85.698 m2,Liền kề,Đại Từ Golden Silk Thái Nguyên,21.620055384351-105.62153132609
Công ty TNHH Đầu tư Đô thị Vạn Phú,"10,15 ha",Shophouse,Vạn Phú Shophouse,21.575250164379-105.65284699846
Công ty TNHH Đầu tư Bến Tre,69.877 m2,"Liền kề, nhà phố, kiot",Phố chợ Phú Khương,10.248805672089-106.3779858238
Công ty Cổ phần Đầu tư Kiến Vàng,"4.830,97 m2",Biệt thự,Hortensia Villas Đà Lạt,11.940462245703-108.4218057368
"Công ty Cổ phần Đầu tư và Phát triển Hưng Vượng Realty<span style=""color:black"">Công ty TNHH Thương mại và dịch vụ Lân Huế </span>","33.208,3 m2","Liền kề, biệt thự",Hùng Vương Garden Phú Thọ,21.348378485533-105.34774178243
Công ty Cổ phần Tập đoàn Đầu tư Me Kong – MEKOVI,"58.362,5 m2",Nhà phố,Thới Lai Mới Cần Thơ,10.064997872131-105.56065408109
Công ty TNHH Biển Ngọc Hồ Tràm,,Shophouse,Hamptons Plaza Hồ Tràm,10.470433865549-107.39297686505
Công ty TNHH đầu tư phát triển An Phú,"4.370,5 m2",Căn hộ,The Lines Hưng Yên,20.969611272834-105.93524598089
Công ty Cổ phần Đầu tư và Xây dựng Điện Bàn,,Đất nền,Alva - Indochina Riverside Complex,15.946941548855-108.27704658746
Cổ phần Tư vấn và Xây dựng Bưu Điện,2.415 m2,Shophouse,Langs Village Hà Nội,21.023644610631-105.80582840028
,," Căn hộ studio, 1PN, 2PN, 3PN",,10.887802521561-106.58701818466
Công ty Cổ phần đầu tư và phát triển nhà VNP,"9,86 ha","Biệt thự, shoptel, đất nền",Golden Field Yên Bái,21.593001040873-104.51513919923
Công ty Cổ phần Đất Xanh Miền Trung,"6.580,78 m",Căn hộ,Regal Residence Premium,17.455255470912-106.64598814424
Công ty Cổ phần Bất động sản Cyber Land,,Đất nền,Cyber Golden quận 12,10.892518016802-106.68692027316
Công ty Cổ phần Đầu tư và Phát triển Mega Holdings,30 ha,Đất nền ,The Pine Hills Lâm Đồng,11.567209836706-107.92768948352
 Công ty Cổ phần Đầu tư 379,,"Biệt thự, Shophouse, nhà liền kề", New Era Bắc Giang,21.264267905466-106.21590708833
,," Biệt thự, liên kế", Khu đô thị xanh Đông Bắc,13.814072386729-109.15382152062
Công ty cổ phần đô thị Nam Sơn Invest,"8,85 ha","Biệt thự, liền kề",Lương Sơn Centre Hòa Bình,20.861349116543-105.52820488385
Công ty TNHH Agape Việt Nam,6.051,Căn hộ,Sentosa Sky Park Hải Phòng,20.825868062923-106.68947808305
,,"Đất nền, shophouse", Flora Estate Hà Nam,20.498790630814-105.88621330096
 Tập đoàn Nam Cường,,"Biệt thự, shophouse", Biệt thự An Thịnh Villa,20.979667648232-105.75606444242
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An,"86.834,2 m2",,Opal Luxury Bình Dương,10.87812557045-106.75593925596
Công ty TNHH Công nghiệp – Bất động sản và Xây dựng Song Phương,"554.365,8 m2","Liền kề, biệt thự, nhà ở xã hội",Amira Chơn Thành,11.467558890878-106.72518833344
 Công ty TNHH Xây dựng và Thương mại Như Anh Vũ,,Đất nền,Vạn An Residence Bắc Ninh,21.193695016893-106.04797246882
